0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,Genre,Cluster
-0.18965736,-0.88259274,-1.2214557,-1.2212045,-2.0397403,-0.3293648,-1.4946775,-1.0594493,-0.959458,0.18933968,-0.2191737,-0.30343992,0.047433075,-0.6662323,-0.76444733,-0.6185754,-0.040436495,-0.023430487,-0.5004895,-0.36654252,-0.82385635,-0.54843056,-0.6650796,-0.44261932,0.20651217,-0.30844647,-0.49553487,-0.6888636,-0.72554284,-0.6205527,-0.7043721,-0.6211154,-0.53935504,-0.6606663,-0.5583579,-0.6830627,-0.5859988,-0.42448783,-0.42799246,-0.45148864,-0.41819444,-0.15065044,-0.35507324,-0.2265979,-0.31044373,-0.3310725,-0.39762402,-0.3473476,-0.1522652,0.21748267,0.19627817,-0.235196,0.63049495,0.097325206,-0.23330693,-0.3300033,-0.22460537,-0.1777092,-0.28518504,-0.23339835,-0.09380345,0.07337255,0.24579649,0.4472283,-0.1208261,-0.28677708,-0.22785337,-0.19530915,-0.26163876,-0.2600967,0.24986845,0.035903372,0.02018921,-0.1114277,0.14507233,-0.086594254,-0.2748539,-0.17741822,-0.18336417,-0.35424256,-0.33764404,0.04533981,-0.038770724,-0.25066766,-0.33172712,-0.20038366,-0.33981264,-0.4032651,-0.33386102,-0.39871994,-0.46533647,-0.36621255,-0.38917822,-0.3752332,-0.37353238,-0.45977014,-0.33636218,-0.31837198,-0.3343315,-0.37231207,-0.34977376,-0.39335537,-0.39359808,-0.31407535,-0.33108136,-0.36731693,-0.40170416,-0.28677186,-0.32062137,-0.34752506,-0.33212098,-0.22538516,-0.22595465,-0.25244254,-0.2112821,-0.21466811,-0.32602325,-0.3893416,-0.37300575,-0.35956314,-0.39616394,-0.37721774,-0.23759219,-0.31869087,-0.33975133,-0.28704485,-0.25528306,-0.12232424,-0.19776475,-0.2480291,-0.33897674,-0.34847525,-0.28267923,-0.14789574,-0.37706688,-0.3635044,-0.41428062,-0.37870064,-0.37404177,-0.1262568,-0.23756894,-0.36703432,-0.45651975,-0.40364754,-0.35420665,-0.42093417,-0.4748127,-0.53131056,-0.5471093,-0.44369996,-0.42220113,-0.42739323,-0.47170874,beats,0
0.5127272,0.6564337,-0.95180583,-0.24856618,-0.5993303,1.0438519,0.35249117,0.32975432,-0.109981276,0.23348424,0.9236666,1.222724,-0.44673118,-1.1257278,-0.52308756,0.049906224,1.7351017,0.25866482,-0.38308856,-0.15982394,-0.639981,-0.9255724,-1.0702214,0.15471184,-0.64203125,-0.31684852,-0.46523273,-0.5343841,-0.6504548,-0.529285,-0.3421189,-0.57254523,-0.5046778,-0.5894676,-0.574702,-0.46873602,-0.32276103,-0.48492074,-0.4389888,-0.47882968,-0.32432598,-0.2731437,-0.027129764,-0.32154357,-0.40239888,-0.1418816,0.07565795,1.171491,2.094232,0.6551833,0.09353832,-0.002543513,0.6212746,0.5305372,0.2575068,0.24251144,0.3754056,-0.11010495,-0.22070737,1.5962917,0.6016685,0.6062037,0.35950965,0.38842204,0.12368277,0.26673967,1.2047974,0.10009668,0.49536148,0.111102805,1.599591,0.75976056,0.60227466,0.104222134,0.6258453,0.99721926,1.1682447,0.44476482,0.53992194,0.5504653,-0.14738527,0.11889953,-0.24210092,-0.37271157,-0.4253539,-0.08412199,-0.18719348,-0.2063277,-0.33347225,-0.29314023,-0.3364044,-0.28299344,-0.2523369,-0.28289,-0.20746668,-0.3048094,0.32870275,0.009563395,-0.01425584,-0.30921212,-0.28051868,-0.32161775,-0.3236964,-0.2992285,-0.28798127,-0.3614581,-0.44960085,-0.23011787,-0.2889169,-0.41494456,-0.44953322,-0.35983184,0.80693215,0.095603675,-0.37070298,-0.33637607,-0.44235328,-0.234438,-0.22810781,-0.44373932,-0.32538584,-0.416486,-0.28695735,-0.26480478,-0.29313296,-0.2686047,-0.33771986,-0.21552922,-0.29379177,-0.33685136,-0.40600654,-0.31032655,-0.27625617,-0.1542575,-0.4655506,-0.45718133,-0.46017605,-0.41717723,-0.4756745,-0.1637909,-0.26039413,-0.34448144,-0.456556,-0.40401927,-0.36631224,-0.3998152,-0.4106361,-0.5417981,-0.5461899,-0.44246018,-0.4767688,-0.5105696,-0.5344274,beats,0
1.7050176,0.15302575,-0.49219397,-0.59982276,-0.6463242,0.3600862,-0.18489578,0.4189333,0.07506282,-0.12802646,0.12436075,0.087507315,0.18768351,1.3741966,1.8000739,0.42701322,0.60341865,0.7639784,0.87851614,0.4981032,0.3530612,1.1441666,2.058973,1.8011713,1.304841,0.15443067,0.6357754,0.88255715,0.5629567,1.2028472,0.6058798,-0.04497408,0.1524987,0.008675559,0.0964533,0.36807942,0.02702059,-0.07991596,-0.16103669,-0.2909206,-0.163398,0.13133706,0.12593658,0.250054,-0.006913951,1.8144412,1.9409915,-0.0848001,0.9424586,1.0383406,0.42410347,-0.04446272,0.017307298,-0.05165794,-0.2078171,0.02691743,0.99425006,0.68135595,0.04996972,1.2595191,0.41848937,0.6290187,0.542751,0.21391732,0.054782998,0.23257142,2.2357688,1.2686476,0.3200376,0.044105045,0.60007536,0.24830505,0.25064906,0.19394507,0.560163,1.3101833,0.83883184,-0.0021224683,-0.024979139,-0.00076112436,0.1895269,0.84053326,0.4858583,0.40014204,-0.08622503,0.04381206,0.11653485,0.30830833,0.3285658,0.46078026,0.62692374,0.31461903,0.72426695,0.7280305,0.3977503,0.091109484,0.6235523,0.6957135,0.332627,0.080464154,0.19534753,0.10367991,0.26610452,0.1915214,0.42639926,0.29942822,0.30014473,0.17485102,0.14207987,0.11882908,-0.021685233,0.4740449,0.41051015,0.37068412,0.2633098,0.21267064,0.32801437,0.2729889,0.41135126,0.42889568,0.6023197,0.8336392,0.6442394,0.7297076,1.0274101,1.0942798,0.87351274,0.25243336,0.21607433,0.58022726,0.7188482,0.5678497,0.31619567,0.07311209,0.36095098,0.27205205,0.100261495,0.06612887,0.13164467,-0.011008363,0.0511764,0.13944659,0.08529392,0.13707599,0.024689654,0.10826424,0.08722646,0.038674846,-0.040680014,-0.06325172,0.0012391194,0.043935806,0.049629148,beats,2
0.39144063,-0.1561422,0.1370904,-1.0605308,-0.24789236,0.112471454,-0.505324,-0.11666058,0.53283036,-0.2486776,-0.353056,-0.59934205,-0.13486066,1.9329097,1.3962094,0.9790853,0.5491765,-0.811328,-0.87549204,-0.6083859,0.38893542,0.13496827,-0.13999245,0.5102214,0.5934477,0.4384185,1.6596596,2.0569832,1.1386597,0.8290083,1.1953311,1.0554667,0.4562488,0.25171557,0.8244944,0.7726836,0.42968968,-0.31646276,-0.5785793,-0.49764565,-0.51376694,-0.41205642,-0.35441527,-0.40004754,-0.11732387,-0.062343013,-0.18652014,0.017438332,0.050869662,-0.32093832,-0.4411739,-0.28602743,-0.29234824,-0.24822149,0.5442616,0.92967546,0.036929104,-0.06643814,0.019879209,0.014883803,-0.023323517,0.3351964,-0.10616655,-0.046628658,-0.010141733,0.08318138,0.08700599,-0.15083076,0.1619047,0.0649892,0.12294159,-0.04682032,-0.099832006,-0.16986544,-0.12742291,-0.17136458,-0.11918936,-0.0878618,-0.1322264,0.022239154,0.391643,0.7651184,0.020358479,-0.0036505247,-0.052297242,0.3564161,0.470404,0.036577538,-0.3284713,-0.19705904,0.024962803,-0.13547154,-0.26791376,-0.32826006,-0.14700706,-0.008410258,-0.0025565093,-0.17920446,-0.21929303,-0.25650305,-0.15416776,-0.22367904,-0.14259255,-0.16724226,-0.23681803,-0.24301656,-0.2952584,-0.16580813,-0.21710315,0.04247279,-0.032605957,0.004600502,0.020066345,0.19697918,-0.055111356,-0.06635557,0.03613831,0.1050502,0.31246543,0.46593815,0.21749614,0.45850807,0.22548442,0.45759782,0.7753293,0.54465675,0.5976463,0.3619589,0.47378767,0.98067623,1.3886665,1.3222702,0.6612521,0.21350998,0.98451,1.409169,1.6333514,1.4980966,2.197931,0.54241383,1.1887462,2.1463168,2.3180087,2.5387242,2.0082173,2.3067873,2.8275042,3.4497058,3.0800543,2.408854,2.7329414,3.5119848,3.7388313,beats,2
0.6035247,-0.11232379,-0.29103264,0.3302323,0.2316487,-1.0642785,1.1982279,0.22425461,-0.944769,0.030893616,-0.7484796,-1.0243769,0.20442086,0.8075138,0.717972,0.5523119,0.21931462,-0.34120166,-0.068188526,0.28862536,0.7311362,0.63242733,1.2425221,0.764365,0.47494236,-0.2425538,0.27883735,0.85066825,-0.25306556,0.32068157,0.10338003,0.10066151,0.6225168,0.40217543,-0.035961047,0.22786574,-0.072422765,-0.28360698,-0.09391697,0.44781622,0.08798533,0.28944686,-0.18970157,-0.19760017,-0.1445104,-0.34370983,-0.33400208,-0.30240658,-0.364317,-0.39896733,-0.3235946,-0.20288901,-0.4170995,-0.3296746,-0.28914836,-0.31836358,-0.25599197,-0.12267232,0.13496026,0.20137474,-0.12775561,-0.19707926,-0.30295599,-0.31277576,-0.15458728,-0.22592585,-0.23465042,-0.20455654,-0.16521767,-0.15702774,-0.14251809,-0.2542556,-0.20270233,-0.24761267,-0.26924098,-0.33363196,-0.13355839,-0.15505746,-0.22197258,-0.3897581,-0.40039942,-0.31203926,-0.3278422,-0.3055725,-0.38694564,-0.26955742,-0.40781596,-0.33768576,-0.29437512,-0.26673818,-0.14703691,-0.14427552,-0.20870762,-0.26914716,-0.13077335,-0.14357513,-0.13259722,-0.21098693,-0.15585375,-0.19106436,-0.0917343,-0.2014116,-0.1573616,-0.08618972,-0.10185425,-0.07384456,-0.114051186,0.000369683,-0.08705682,0.0042148517,0.22574438,0.3494188,0.29153937,0.48904252,0.086943075,-0.09147885,-0.19205575,-0.32235652,-0.40840098,-0.42152613,-0.36492333,-0.45495763,-0.3193195,-0.31250674,-0.28668308,-0.3424296,-0.2872146,-0.20174721,-0.26921397,-0.28808114,-0.29016832,-0.2717383,-0.18472008,-0.0962077,-0.09367124,-0.081906915,-0.23889604,-0.2991066,-0.25339738,-0.1650025,-0.25002462,-0.35958338,-0.36279336,-0.29841295,-0.2583864,-0.2304224,-0.17578115,-0.1916119,-0.2186689,-0.17116544,-0.13214038,-0.122693226,-0.12324212,beats,0
0.26270628,-0.14898024,-0.5827736,-0.02427304,0.20045647,-1.1794518,0.13602196,-0.4872666,0.20387068,-0.35359737,-0.5598509,0.28761262,-0.28938773,0.43859974,-0.5729269,-0.7959283,-1.1213306,-1.1323662,-0.6087796,-0.55739456,0.28778553,1.1751804,1.3048763,1.3087734,1.0293009,-0.31871408,-0.5086105,-0.6407213,3.8752322,3.3476465,-0.45520595,-0.49338767,-0.4601155,-0.62372315,-0.48131123,-0.52505165,-0.48387715,-0.2247138,-0.19324651,-0.12539046,-0.22210471,-0.39899093,-0.44434822,-0.15656894,-0.0992761,-0.17992929,-0.06653648,-0.21049942,-0.2833964,-0.43599093,-0.28015152,-0.021209821,-0.22802477,-0.25410247,-0.09731115,-0.16520093,-0.18575087,-0.04367905,-0.23165175,-0.34883234,-0.17964552,-0.25749514,-0.34646142,0.1323573,1.0197685,0.7999583,-0.20423025,-0.26025245,-0.15913045,-0.1749038,-0.17000364,-0.33350393,-0.29205516,-0.28076565,-0.25678656,-0.29172248,-0.34204856,-0.2420983,-0.20829406,0.19900806,0.06806099,-0.22846563,-0.25934568,-0.103384525,-0.20262231,-0.22058827,-0.34523946,-0.31063434,-0.29590476,0.02217492,1.0787414,0.47639254,-0.28777617,-0.12326504,-0.07457239,-0.15258873,0.34137097,-0.052413452,-0.140707,-0.19672163,-0.22338161,-0.24253412,-0.25709352,-0.32277992,-0.2534707,0.29961562,0.4592074,-0.12261415,-0.16888157,-0.07039034,-0.054911632,0.14449598,-0.0017008655,-0.22949506,-0.38334468,-0.39530742,-0.23226133,-0.22288361,-0.3928669,-0.18611978,0.08921663,-0.070412345,-0.043001767,-0.14965634,-0.2533901,-0.32848412,-0.38991702,-0.24799746,-0.30539286,-0.370595,-0.48515266,-0.44639757,-0.33283153,-0.16899613,-0.45691195,-0.45706567,-0.4812028,-0.42887202,-0.5035396,-0.17517468,-0.25823373,-0.40183237,-0.426189,-0.38018748,-0.30236268,-0.28810894,-0.32110777,-0.38786983,-0.40018618,-0.34375155,-0.35940975,-0.3881004,-0.41686916,beats,0
0.16911525,0.19045094,-1.6926445,-0.18747368,-0.65444356,0.44038248,-0.9498522,-0.14876525,-0.5128497,-0.36046052,0.21746509,0.016072439,-0.49822903,-0.06847634,-0.102445014,-0.14256051,-0.500508,-0.108025104,-0.18404035,0.5619692,1.3672001,0.65539265,0.17930916,0.22651336,0.56832784,-0.2681113,-0.4729563,-0.6558844,-0.4356799,-0.36319655,-0.55600685,-0.5240414,-0.46149167,-0.60931104,-0.5538771,-0.67008007,-0.57540905,-0.47941238,-0.5779585,-0.35632557,-0.45496473,-0.44740695,-0.5054154,-0.38668245,-0.31143996,-0.35264948,-0.47605568,-0.46265084,-0.41582748,-0.3460146,-0.25093147,-0.3574663,-0.3949022,-0.20039435,-0.20018287,-0.0070093106,-0.12663114,-0.17288925,-0.32339403,-0.20239763,-0.08791872,-0.061829787,-0.17699178,-0.28328088,-0.37418458,-0.38759404,-0.31698802,-0.32186165,-0.23691568,-0.12817864,-0.32500535,-0.30808267,0.027147012,0.045681335,0.11128546,-0.15548703,0.04124154,0.06297587,0.057256557,-0.046238013,-0.21549292,-0.21502252,-0.26524854,-0.32128194,-0.26017317,-0.07644129,-0.29750246,-0.15060423,0.4694767,0.58975667,-0.171166,-0.24281533,-0.2655131,-0.22364554,-0.07236183,-0.16746294,-0.14793135,-0.30767545,-0.26585212,-0.1355432,-0.14161412,-0.26284888,-0.3720286,-0.23592117,-0.22901867,-0.40156248,-0.44508243,-0.19338533,-0.2032745,-0.120822966,-0.3134351,-0.22480597,-0.36170414,-0.33051333,-0.1836067,-0.28741995,-0.34121042,-0.3890978,-0.022327824,-0.107060485,-0.36692804,-0.38008565,-0.30716062,-0.3106447,-0.30057716,-0.4320828,-0.4224969,-0.2676055,-0.32905823,-0.41311398,-0.49420574,-0.45034587,-0.3090985,-0.15938641,-0.48169857,-0.5075752,-0.5064225,-0.4669458,-0.5494823,-0.19063039,-0.29562777,-0.50372714,-0.56048745,-0.48759946,-0.42731103,-0.4843915,-0.51033217,-0.5852769,-0.5930899,-0.48481026,-0.51133466,-0.54723585,-0.529619,beats,0
-0.0124750985,-1.0378085,-0.92908764,0.713831,-0.4717122,-0.13612375,-0.14070709,0.60742605,-1.370607,0.38088426,0.8724886,-0.93219733,-0.23073234,-0.22340553,0.071621254,0.19808303,0.52475977,0.52889955,0.9317917,1.3126794,1.2828515,1.1158066,0.6963693,0.5362909,0.06586898,-0.31771627,-0.5085098,-0.702446,-0.7138348,-0.6771855,-0.77374554,-0.59515613,-0.47599685,-0.6051559,-0.5274928,-0.64613795,-0.5950798,-0.5368828,-0.58750474,-0.5316205,-0.51809275,-0.4418719,-0.49738115,-0.4832605,-0.46134493,-0.4652049,-0.4733116,-0.47893494,-0.45399526,-0.53401387,-0.4710147,-0.40988538,-0.46931535,-0.36452565,-0.35986385,-0.35039955,-0.3218985,-0.3428047,-0.35353306,-0.36609572,-0.17761347,-0.27242824,-0.4045424,-0.4593891,-0.34154984,-0.36362022,-0.3973519,-0.33460227,-0.30184147,-0.30761436,-0.2902045,-0.27869576,-0.19655125,-0.22258052,-0.1785234,-0.2190059,-0.19522804,-0.12424047,-0.111319944,-0.14169313,-0.1399851,-0.09125883,-0.20988236,-0.2042535,-0.27632758,-0.14738037,-0.26744735,-0.22951117,-0.3351519,-0.16781868,-0.10873485,-0.12067457,-0.017685413,0.034498658,0.16575739,0.062924035,0.47140875,0.4726456,1.0187244,0.86465836,1.1016996,0.82238567,1.1930667,0.84821165,1.0006506,0.8663848,0.79302716,0.4877273,0.4839784,0.66214645,0.37598544,0.62894523,0.52897084,0.66744363,0.49964726,0.71490926,0.57698065,0.5271631,0.11216236,-0.019783309,-0.20616955,-0.24023171,-0.058844894,-0.10453684,-0.018183375,-0.04398912,0.1410059,0.31043756,0.18582082,0.06840368,0.04927375,0.06311015,-0.026044179,-0.05016277,0.013434612,0.34421742,0.2270267,0.19085278,0.36226302,-0.040051002,-0.12009342,-0.16537918,-0.14898653,-0.1869713,-0.093671806,-0.11947084,0.06074532,-0.057051934,0.029054442,-0.10729301,-0.265161,-0.31185213,-0.25330886,beats,2
0.7018649,-0.58883005,-1.163334,0.90468836,-0.05323123,1.0930533,0.39774477,1.1063361,0.54562044,1.0258409,0.2642613,0.6413771,-0.08473237,0.040289234,0.6051119,1.228668,0.503215,0.23901516,0.12715605,-0.37357044,0.64230835,-0.1351155,0.4522102,0.07102735,-0.022326527,-0.30628458,-0.4831913,-0.61205065,-0.6123228,-0.18030484,0.3248735,-0.12491514,-0.36842164,-0.48047358,-0.44955486,-0.34066594,-0.3540249,-0.3454657,-0.5066904,-0.544252,-0.5103103,-0.42645055,-0.5213896,-0.49652117,-0.45454818,-0.4930773,-0.5051097,-0.42728674,-0.4736924,-0.5323975,-0.43623307,-0.36936072,-0.44686377,-0.3000038,-0.1068718,-0.20847371,-0.23678234,-0.28840765,-0.22390035,-0.30509728,-0.17202923,-0.18578063,-0.34126812,-0.39649424,-0.28946686,-0.34688026,-0.41907904,-0.34729236,-0.19176584,-0.08409898,0.20589453,-0.2597562,-0.13100398,-0.09086116,-0.056079015,-0.10061122,-0.100305095,-0.19302817,-0.16966629,-0.19508721,-0.095668085,-0.22230083,-0.2288113,-0.013447473,0.16672409,0.19216593,0.24160111,0.08151371,-0.0941017,0.06334871,0.12903649,0.31000483,0.9208503,0.39055815,1.4220709,2.4461472,0.24888298,0.12158621,0.64992785,1.1211084,0.5596518,0.91538435,0.6514682,0.11557202,0.36593798,3.110602,5.1963625,0.3547437,0.26570055,0.62602264,2.9723966,1.1000166,0.9797377,0.9982462,1.887114,0.79858845,0.52190334,1.2020125,1.012373,0.69461864,0.7050173,1.7278717,0.7484247,0.3013846,0.5891454,0.6055111,0.8792545,1.2846272,1.3419757,0.32249647,0.5634716,0.5684965,0.71178836,0.15224881,1.3877108,0.30070078,0.417253,0.15487099,2.737125,0.30166668,0.47275782,2.3901877,0.41506043,0.43009862,0.014699813,0.037443113,-0.1310429,0.2492821,-0.10002517,-0.32420585,-0.32844332,-0.38270357,-0.22890563,beats,2
-0.1332679,0.04894036,1.0550681,1.1320258,-0.43372804,0.93154943,0.3628498,0.21852425,0.42427075,0.40456775,0.8897464,0.50861377,0.12868018,1.1280501,-0.0577142,-0.8275334,-0.7942567,-0.75093204,-0.21596862,0.54461575,0.9786334,0.27234328,0.20614481,1.134624,1.4544421,-0.27191493,-0.33019087,-0.24497901,0.53564537,0.5243445,-0.5606879,-0.56861967,-0.4690989,-0.53038704,-0.37641707,-0.5453228,-0.52173615,-0.46437174,-0.50953174,-0.45528737,-0.5029346,-0.4200824,-0.37886173,-0.40291953,-0.35403574,-0.44386843,-0.49979648,-0.45661497,-0.40338537,-0.516564,-0.47923148,-0.38267645,-0.46355683,-0.33734733,-0.29543954,-0.36673757,-0.3953133,-0.47698185,-0.373179,-0.3959369,-0.13883646,-0.20897454,-0.41083056,-0.4185787,-0.2092051,-0.2846314,-0.40617657,-0.38596374,-0.32623753,-0.30759507,-0.4226946,-0.33745238,-0.23009343,-0.29236403,-0.3476549,-0.36667424,-0.37998876,-0.27422947,-0.25086534,0.09061249,-0.088914715,-0.35520723,-0.3609504,-0.33832327,-0.34062636,-0.24433668,-0.3521198,-0.46789697,-0.5230735,-0.5202397,-0.42903042,-0.38979954,-0.4677712,-0.46396303,-0.4398575,-0.47901517,-0.35948196,-0.3063519,-0.28404042,-0.31673637,-0.32639158,-0.29992628,-0.2164685,-0.29790825,-0.38876915,-0.31775507,-0.269858,-0.27240798,-0.2792698,-0.32601312,-0.4228407,-0.3379714,-0.37614596,-0.32686096,0.54216486,0.73534834,-0.32832855,-0.17146191,-0.23234834,-0.15131687,-0.20587525,-0.17238586,-0.21759513,0.18817139,-0.0278118,-0.12660207,-0.025618173,-0.048589647,-0.05730979,-0.10846413,-0.18638007,-0.24020086,-0.22016229,-0.1352956,-0.36978713,-0.36475995,-0.37206104,-0.33878133,-0.40124622,-0.16258024,-0.24432614,-0.38473138,-0.42508,-0.3802385,-0.3494789,-0.39279798,-0.42846006,-0.5192452,-0.51422226,-0.4337894,-0.4575043,-0.4839376,-0.49089926,beats,0
